Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_Testsuite_03,Firefox 122.0,,,03-02-2024 18:04:26,03-02-2024 18:06:19,1m - 53.639s,PASSED
,,,,,,,
Test Cases/validating_buttons_and_checkpoints/TC_cura_Book_appointment_button_03,Firefox 122.0,,,03-02-2024 18:04:27,03-02-2024 18:05:01,34.268s,PASSED
"openBrowser("""")",Firefox 122.0,,,03-02-2024 18:04:28,03-02-2024 18:04:39,10.540s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 122.0,,,03-02-2024 18:04:39,03-02-2024 18:04:48,8.891s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/user_appointment_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Firefox 122.0,,,03-02-2024 18:04:48,03-02-2024 18:04:50,2.235s,PASSED
"setText(findTestObject(""Object Repository/CURA_OR/user_appointment_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 122.0,,,03-02-2024 18:04:50,03-02-2024 18:04:51,1.066s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA_OR/user_appointment_OR/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 122.0,,,03-02-2024 18:04:51,03-02-2024 18:04:52,0.592s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/user_appointment_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 122.0,,,03-02-2024 18:04:52,03-02-2024 18:04:54,2.171s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/user_appointment_OR/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Firefox 122.0,,,03-02-2024 18:04:54,03-02-2024 18:04:55,0.847s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/user_appointment_OR/Page_CURA Healthcare Service/td_6""))",Firefox 122.0,,,03-02-2024 18:04:55,03-02-2024 18:04:55,0.798s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/user_appointment_OR/Page_CURA Healthcare Service/th_""))",Firefox 122.0,,,03-02-2024 18:04:55,03-02-2024 18:04:57,1.139s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/user_appointment_OR/Page_CURA Healthcare Service/td_30""))",Firefox 122.0,,,03-02-2024 18:04:57,03-02-2024 18:04:58,1.055s,PASSED
"setText(findTestObject(""Object Repository/CURA_OR/user_appointment_OR/Page_CURA Healthcare Service/textarea_Comment_comment""), ""feaver"")",Firefox 122.0,,,03-02-2024 18:04:58,03-02-2024 18:04:59,1.040s,PASSED
"click(findTestObject(""Object Repository/CURA_OR/user_appointment_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Firefox 122.0,,,03-02-2024 18:04:59,03-02-2024 18:05:01,2.100s,PASSED
,,,,,,,
Test Cases/validating_buttons_and_checkpoints/TC_cura_validateappointmentbutton_02,Firefox 122.0,,,03-02-2024 18:05:01,03-02-2024 18:05:14,13.574s,PASSED
"openBrowser("""")",Firefox 122.0,,,03-02-2024 18:05:01,03-02-2024 18:05:08,6.789s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 122.0,,,03-02-2024 18:05:08,03-02-2024 18:05:13,4.549s,PASSED
